,name,latitude,longitude,delivery_review_number,location
489,Cremeux Pizza & Bakery Cafe,12.9166396000,77.5955023000,161,"Jayanagar, Bangalore"
490,Snack's Shack,12.9799067802,77.7525884809,299,"Whitefield, Bangalore"
491,Dum Pukht Jolly Nabobs - ITC Windsor,12.9946693616,77.5853553414,0,"ITC Windsor, Bangalore"
492,Coastal Machali Co.,12.9657957986,77.5978363305,631,"Residency Road, Bangalore"
493,Taiki,12.9065039535,77.5896656513,7,"JP Nagar, Bangalore"
494,Brahmin's Coffee Bar,12.9539800540,77.5688443333,"1,217","Basavanagudi, Bangalore"
495,Alchemy,12.9659271432,77.5986701623,0,"The Chancery Pavilion, Residency Road, Bangalore"
496,The Dome Cafe,12.9019766737,77.6757337153,81,"Sarjapur Road, Bangalore"
497,Neon Market,12.9727809180,77.6397716840,1,"Indiranagar, Bangalore"
498,Tutto Bene - Health Cafe by Little Italy,12.9664587288,77.6416934654,29,"Indiranagar, Bangalore"
499,Smoke House Pizzeria,12.9899760000,77.7283920000,"3,134","Forum Shantiniketan Mall, Whitefield, Bangalore"
500,Pasta Street,12.9881792525,77.7299770340,"3,777","Prestige Shantiniketan, Bangalore"
501,Chowman,12.9569220000,77.7150870000,13.6K,"Brookefield, Bangalore"
502,The Coffee Brewery,13.0047054055,77.7177011397,944,"KR Puram, Bangalore"
503,Smoor,12.9656812996,77.7492139501,"3,488","Whitefield, Bangalore"
504,Dot.yum - Aloft Hotel,12.9906304598,77.7331145480,11,"Aloft Hotel, Whitefield, Bangalore"
505,Whitefield Baking Company - Bengaluru Marriott Hotel Whitefield,12.9793196826,77.7276824042,43,"Bengaluru Marriott Hotel Whitefield, Bangalore"
506,The Sandwich Station,12.9656186894,77.7333549577,"4,837","Whitefield, Bangalore"
507,De Royale Spice,12.9961793000,77.6911507000,5,"KR Puram, Bangalore"
508,The Filter Coffee,12.9626959506,77.7168288598,"6,004","Brookefield, Bangalore"
509,Haldiram's Restaurant,12.9602672674,77.7162443233,251,"Brookefield, Bangalore"
510,Srinidhi Signature,12.9835312684,77.7530309558,"3,384","ITPL Main Road, Whitefield, Bangalore"
511,Third Wave Coffee,12.9635900000,77.7171200000,964,"Brookefield, Bangalore"
512,Kalinga Spices,12.9510049820,77.7158203125,"6,302","Brookefield, Bangalore"
513,Paper And Pie Cafe,12.9653831000,77.7324063000,0,"ITPL Main Road, Whitefield, Bangalore"
514,Pakodee’s,12.9889941000,77.7157381000,154,"Whitefield, Bangalore"
515,The Eatery - Four Points By Sheraton Bengaluru,12.9789952591,77.7511520684,202,"Four Points by Sheraton Bengaluru Whitefield, Bangalore"
516,The Rameshwaram Cafe,12.9707561000,77.7125276000,989,"Brookefield, Bangalore"
517,Samosa Party,12.9738204000,77.7100737000,875,"Brookefield, Bangalore"
518,Biryani Pub,12.9581443650,77.7016170323,34,"Marathahalli, Bangalore"
519,Zodiac,12.9776256843,77.7143484727,2,"Fortune Select Trinity, Whitefield, Bangalore"
520,Karibu - The Zuri,12.9906258861,77.7231169492,0,"The Zuri Hotels, Bangalore"
521,Brunchilly - Sarovar Portico,12.9788652283,77.6945011318,17,"Marathahalli, Bangalore"
522,Juice N Bites,12.9796282000,77.7533973000,162,"Whitefield, Bangalore"
523,Grill On Hot & Cool Cafe,12.9722933533,77.7002802864,9,"Marathahalli, Bangalore"
524,Asha Tiffins,12.9644094879,77.7144812420,26.7K,"Brookefield, Bangalore"
525,Vijayawada Tiffins,12.9663362061,77.7141040564,481,"Brookefield, Bangalore"
526,Pinds Of Punjab,13.0044669291,77.7182594687,"4,465","KR Puram, Bangalore"
527,Kava Kitchen & Bar - Fairfield by Marriott,12.9810567948,77.7092164010,74,"Whitefield, Bangalore"
528,Aruki Kitchen,12.9928702724,77.7028248013,15,"Whitefield, Bangalore"
529,Hard Rock Cafe,12.9871780000,77.7364790000,389,"Ascendas Park Square, Whitefield, Bangalore"
530,Khane Ka Khazana,12.9515471101,77.7173605934,"2,980","Brookefield, Bangalore"
531,Brilram's Balaji Bhavan,13.0128636962,77.7611215040,15.7K,"Whitefield, Bangalore"
532,The Mill -  Artisanal Bakery,13.0248168000,77.7611950000,139,"Whitefield, Bangalore"
533,Chaayos Chai+Snacks=Relax,12.9870639011,77.7364790440,"3,870","Ascendas Park Square, Whitefield, Bangalore"
534,Mega Bite,12.9717941254,77.7174434066,0,"MGM Mark Whitefield, Bangalore"
535,Mansaf Paradise,12.9520078825,77.7041078351,41,"Marathahalli, Bangalore"
536,No Sugar Please!,12.9622627000,77.7166021000,"1,004","Brookefield, Bangalore"
537,Cafe Mumbai,13.0127712375,77.7623455973,"3,196","ITPL Main Road, Whitefield, Bangalore"
538,Kapoor's Cafe,13.0104460000,77.6977920000,"1,913","KR Puram, Bangalore"
539,Whitefield SOCIAL,12.9977178000,77.6970699000,"2,254","Phoenix Marketcity Bangalore, Whitefield, Bangalore"
540,Lavonne,12.9896239094,77.7280424908,936,"Forum Shantiniketan Mall, Whitefield, Bangalore"
541,Subway,13.0045240000,77.7177010000,"1,073","KR Puram, Bangalore"
542,Flavours Radha Hometel,12.9779870280,77.7136417106,116,"Radha Hometel, Bangalore"
543,Poha On Wheels,12.9595447603,77.7017135918,"2,457","Marathahalli, Bangalore"
544,Blue Tokai Coffee Roasters,12.9962018598,77.6954191178,717,"VR Bengaluru, Whitefield, Bangalore"
545,Thirupathi Bhimas,12.9564646000,77.7100697000,636,"Marathahalli, Bangalore"
