,name,location,price_for_two,cuisines,rating,restaurant_link
241,Pizza Hut,"Old Airport Road, Bangalore",600,"Pizza, Italian, Pasta, Fast Food, Desserts, Beverages",3.5,https://www.zomato.com//bangalore/pizza-hut-airport-road/info
242,Yellow Door - The Neighbourhood Kitchen,"Koramangala 5th Block, Bangalore",1100,"North Indian, Asian, Italian, Fast Food",4.3,https://www.zomato.com//bangalore/yellow-door-the-neighbourhood-kitchen-1-koramangala-5th-block-bangalore/info
243,Dock 66,"Whitefield, Bangalore",1800,"North Indian, South Indian",4.3,https://www.zomato.com//bangalore/dock-66-1-whitefield-bangalore/info
244,Sindh Punjab,"Brookefield, Bangalore",400,"North Indian, Sindhi, Street Food, Beverages, Chinese",4.0,https://www.zomato.com//bangalore/sindh-punjab-brookefield-bangalore/info
245,Yuki,"Indiranagar, Bangalore",1600,"Asian, Japanese, Sushi, Thai, Chinese, Salad, Desserts",4.5,https://www.zomato.com//bangalore/yuki-indiranagar-bangalore/info
246,Gopaljee Cafe,"Brookefield, Bangalore",400,"Street Food, North Indian",4.2,https://www.zomato.com//bangalore/gopaljee-cafe-brookefield-bangalore/info
247,Communiti,"Brigade Road, Bangalore",1800,"American, Continental, European, Italian, Oriental, Burger, Beverages",4.5,https://www.zomato.com//bangalore/communiti-brigade-road-bangalore/info
248,A2B - Adyar Ananda Bhavan,"Varthur Main Road, Whitefield, Bangalore",700,"South Indian, Street Food, Biryani, Beverages",4.1,https://www.zomato.com//bangalore/a2b-adyar-ananda-bhavan-varthur-main-road-whitefield-bangalore/info
249,GOPIZZA,"Hoskote, Bangalore",400,Pizza,4.1,https://www.zomato.com//bangalore/gopizza-hoskote-bangalore/info
250,Sathya's,"Koramangala 3rd Block, Bangalore",1400,"North Indian, Chinese, Beverages",4.1,https://www.zomato.com//bangalore/sathyas-koramangala-3rd-block/info
251,Daysie - All Day Casual Bar,"MG Road, Bangalore",1300,"North Indian, Italian, Continental, Asian, Chinese, Bar Food, Desserts",4.4,https://www.zomato.com//bangalore/daysie-all-day-casual-bar-mg-road-bangalore/info
